"Source:","C:\Users\lyndon\Documents\Projects\Arduino-Based\Mutea_Sabir\BallSpeed\CAD\BallSpeed.kicad_sch"
"Date:","8/13/2022 11:32:12 AM"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","9"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","DESCRIPTION","MF","MP","PACKAGE","PRICE"
"","","D1","IR LED","Device:LED","","~","","","","","",""
"","","D2","Photodiode","Device:D_Photo","","~","","","","","",""
"","","J1","Power","Connector_Generic:Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","","","","","",""
"","","J2","Digital/PWM","Connector_Generic:Conn_01x10","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","~","","","","","",""
"","","J3","Analog","Connector_Generic:Conn_01x06","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~","","","","","",""
"","","J4","Digital/PWM","Connector_Generic:Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","","","","","",""
"","","R1","4.7k","Device:R","","~","","","","","",""
"","","R2","330","Device:R","","~","","","","","",""
"","","U1","DF Robot MP3 Player","DFR0299:DFR0299","MODULE_DFR0299","","Unavailable","Dfplayer Pro","DFRobot","DFR0299","None","None"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","DESCRIPTION","MF","MP","PACKAGE","PRICE"
"1","1","D1","IR LED","Device:LED","","~","","","","","",""
"2","1","D2","Photodiode","Device:D_Photo","","~","","","","","",""
"3","1","J1","Power","Connector_Generic:Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","","","","","",""
"4","1","J2","Digital/PWM","Connector_Generic:Conn_01x10","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","~","","","","","",""
"5","1","J3","Analog","Connector_Generic:Conn_01x06","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~","","","","","",""
"6","1","J4","Digital/PWM","Connector_Generic:Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","","","","","",""
"7","1","R1","4.7k","Device:R","","~","","","","","",""
"8","1","R2","330","Device:R","","~","","","","","",""
"9","1","U1","DF Robot MP3 Player","DFR0299:DFR0299","MODULE_DFR0299","","Unavailable","Dfplayer Pro","DFRobot","DFR0299","None","None"
